"name","status","package","ontology","dataset","started","finished","error"
"enovation","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\enovation-label-uri-fix-20260715-1157-20260715-0859","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\eNOVATION.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\eNOVATION_eval_dataset.json","2026-07-15T11:57:41","2026-07-15T12:11:05",""
"ck25","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\ck25-label-uri-fix-20260715-1157-20260715-0911","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\ck25_text2sparql_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\ck25_text2sparql_combined_eval_dataset.json","2026-07-15T12:11:06","2026-07-15T12:37:59",""
"bestiary","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\bestiary-label-uri-fix-20260715-1157-20260715-0938","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\bestiary_sandro.rdf","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\bestiary_sandro_eval_dataset.json","2026-07-15T12:37:59","2026-07-15T13:02:10",""
"sandro-battle-death","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-battle-death-label-uri-fix-20260715-1157-20260715-1002","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_battle_death_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_battle_death_combined_eval_dataset.json","2026-07-15T13:02:10","2026-07-15T13:04:40",""
"sandro-car-1","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-car-1-label-uri-fix-20260715-1157-20260715-1004","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_car_1_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_car_1_combined_eval_dataset.json","2026-07-15T13:04:40","2026-07-15T13:19:29",""
"sandro-concert-singer","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-concert-singer-label-uri-fix-20260715-1157-20260715-1019","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_concert_singer_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_concert_singer_combined_eval_dataset.json","2026-07-15T13:19:29","2026-07-15T13:25:16",""
"sandro-course-teach","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-course-teach-label-uri-fix-20260715-1157-20260715-1026","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_course_teach_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_course_teach_combined_eval_dataset.json","2026-07-15T13:25:16","2026-07-15T13:30:11",""
"sandro-cre-doc-template-mgt","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-cre-doc-template-mgt-label-uri-fix-20260715-1157-20260715-1030","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_cre_doc_template_mgt_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_cre_doc_template_mgt_combined_eval_dataset.json","2026-07-15T13:30:11","2026-07-15T13:39:51",""
"sandro-dog-kennels","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-dog-kennels-label-uri-fix-20260715-1157-20260715-1040","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_dog_kennels_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_dog_kennels_combined_eval_dataset.json","2026-07-15T13:39:51","2026-07-15T13:52:34",""
"sandro-employee-hire-evaluation","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-employee-hire-evaluation-label-uri-fix-20260715-1157-20260715-1052","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_employee_hire_evaluation_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_employee_hire_evaluation_combined_eval_dataset.json","2026-07-15T13:52:34","2026-07-15T13:57:18",""
